Date,Rating,Title,Reviews
Mar 2020,10,$125 REDEPOSIT FEE,Just wanted everyone to know that United is charging $125 to redeposit miles into your Mileage Plus account for cancellations resulting from the Corona Virus outbreak. Paid tickets have no charges or penalties. I think this is disgraceful and they are totally taking advantage of a situation that is out of people's control. Nice way to reward your frequent flyers United.
Mar 2020,40,good flight,"after some time again on united, not a long flight just under two hours but on time, good Boarding, flight was quite empty so you could move around and we had both aisle seats nobody by us, Basic Service drink and a small salty Snack. app for movies works but not the a very good choice of movies or TV. Overall as it was connecting flight for us we arrived on time and our luggage made it."
Mar 2020,10,Poor customer service,"Customer service is way below par for business class airlines. Food is below standards. Our flight was delayed by 18 hours we reached EWR at mid night, they gave us connecting flight boarding passes and didn't checked n bags and asking us to drop off another terminal. We went through multiple small elevators to get to baggage drop only to find empty counters for 3hours. For our inconvenience we were given 20$ voucher.highly inconvenient will not recommend this airlines for international Traveller and especially for elderly parents travelling alone"
Mar 2020,50,AWESOME,"excellent great food great movies great staff AAAAAAA++++++++ Best flight ever best way to go you can use your moles only 35,000"
Mar 2020,10,Avoid United at ALL costs - seriously.,"Currently stranded in Barcelona waiting to go home to the states. United canceled our booking, never notified us, and never gave us a refund. We had to find out that United canceled our booking through a Lufthansa worker. Thats how terrible United’s customer service is. The poor Lufthansa attendant went through hoops to help us, while United refused to help.    Every other time my flight has been canceled (through any airline besides United), we were offered valid explanations, refunds, and or a change in flight. United just ignored us and offered zero help. You’d think during a global pandemic they would want to get their customers home, but they dont care.    Avoid United at all costs. I know for sure I will never fly with them again. Absolutely reprehensible vultures. Hopefully you dont have a bad experience like I did. Book a different airline."
Mar 2020,10,Horrible,"It was miserable, uncomfortable, rude, and the service was horribly treated, asked about charging my phone was told they weren't available in my section yet it was available 2 rows in front of me. good price no quality and poor service."
Mar 2020,50,Got It Right,My family and I were flying from MPLS into a West Palm Beach to board a cruise to Nassau for 2 nights. It just so happened that the cruise was going to take us to Nassau but was not going to come back for us after our 2 night stay. Our cruise essentially put us in a dilemma less than 24hrs before we boarded our plane! United picked it up and was able to get us a flight from Nassau to MSP complimentary. You guys are the real MVP. Thank you for all that you do.
Mar 2020,20,Mr. William Cook,Terrible overall cleanliness in plane and general conditions  Of the interior of cabin . Seats where dirty and had a strange odor. Would recommend intense cleaning every other flight .
Mar 2020,50,Colorado or Bust,"With the United CC, there are extras provided that make almost every flight special. My United was ON time leaving the gate 5 minutes early and plenty of overhead space. Flight attendants were very professional and had been with United for many years. Quick service, tail winds and arriving early to an open gate, does not get much better! Coming back was equally as great!"
Mar 2020,10,"Don’t trust (they cancel
My flight but charge me)","I booked a family vacation far in advance. And United actually canceled my flight, not me but they changed my flight and gave me an alternate option that did not work for me. When I chose an alternate airport that suited my schedule better I was attempted to be charged fees and even though I was driving seven hours to take that other flight it was cheaper so I was OK with it but they were not going to credit me the difference. Unbelievable. I will continue to be a Delta customer and I should have never And United actually canceled my flight, not me but they changed my flight and gave me an alternate option that did not work for me. When I chose an alternate airport and that suited my schedule better I was attempted to be charged feces and even though I was driving seven hours to take that other flight it was cheaper so I was OK with it but they were not going to credit me the difference. Unbelievable. I will continue to be a Delta customer and I should have never Even tried united"
Mar 2020,40,Flying in these times,Seems that airline reduced plane size due to fewer passengers. All travelers and flight attendants acted respectfully and responsibly.
Mar 2020,30,2 late departures,"Recently used United Airlines to fly to Cancun, via Houston and Jacksonville, Fl. Both flights were late departing so it worked out fine for arrival in Cancun."
Mar 2020,30,Don't fly the basic econ flight.,"Now the airlines are offering a ""basic economy flight"" in addition to the basic flight. The price is the best but the services are terrible. You are not allowed to carry-on luggage,only one personal item and the price for checking the luggage was $30 each way so add $60 and the chance of losing your luggage. Then you are offered a price for a seat. I didn't pay it feeling that I already paid for a seat and those offered are not the best. If you have a long way to go, you get a middle seat which is difficult. You board last and don't get any attention from air attendants. It is miserable, uncomfortable and cheesy."
Mar 2020,50,Smooth Easy Trip,"Flew through Denver and everything was on time coming and going, friendly staff on land and in air, couldn't have been better."
Mar 2020,40,Good Flights,United is usually on time and has good flights. This particular flight was delayed because of weather which worked to my advantage. United always has their act together and boarding is quick and easy. I always fly United and have had good luck. I would recommend for their on time schedules and level of service.
Mar 2020,40,OUR FLIGHT,"PERSONNEL IN AIRPORT AND on flight were Fabulous. As I do not fly alot, I was very surprised how you tightly fit into these seats. Flight was completely booked, its winter with everyone wearing heavy coats we were a bit cramped. Flight was smooth with No problems. As we were unable to pay for an upgrade to our seat or pick our seat, as we were flying with a group. I also would suggest that the last row be allowed to get on to the plane first so they do not hold up everyone else trying to get to their seats"
Mar 2020,30,Did Not Feel United,"United flying to Denver from Oregon was a nightmare. Landed at A77 while my connecting flight to Cancun was boarding at B35. That's right. If you know Denver airport, that was a full sprint, train ride and more flat out running to catch the connecting flight. Poor experience. Airplanes were old, cramped, and dirty. Not a pleasant experience."
Mar 2020,50,Can'y say enough how helpfull they were,"My wife had suffered a fall resulting in a severe sprained knee and ankle prior to our flight home to Edmonton from a cruise in the Caribbean. On arrival at the Ft. Lauderdale airport, our motor coach driver summoned a United agent to bring a wheel chair to the motor coach for my wife. From that moment on, we were treated with respect by agents in Ft. Lauderdale, Houston and Edmonton. Wheel chairs were provided by pleasant and professional United Airlines agents at each airport. We can't thank United enough for their kind attention to my wife's needs."
Mar 2020,10,Airline changes flight but charges me fees,"Airline decides to change flight but because what THEY chose to replace me with wasn’t acceptable, they charge me fees  Highly recommend using delta instead  They would have accommodated"
Mar 2020,50,Great Overall Experience,"Our flight departed early and arrived early, our 3 bags were nearly the first ones off, only real problem was the hard stand disembarkation.    My wife broke her leg in December and by mid -Feb departure she was still using crutches. United arranged for a wheelchair at our PVR destination which worked very well. The hard stand required my wife to go down stairs with trepidation, but we were met on the tarmac with a wheelchair and sailed through immigration and customs."
Mar 2020,50,Ms,"Outstanding service!!!!! I always satisfied with their service, and delicious food.  I love you United Airline 😘😘"
Mar 2020,50,Agent to the rescue,Flying to Cabo in February out of Denver. Had a connection in LAX. We had taxied out for takeoff when a fog bank rolled into LA. After sitting for quite awhile we were told that LA was not allowing flights in. We were going to miss our connection. The only other flight to cabo from LA that day would not arrive until the following afternoon. The plane went back to the gate. We got off and hustled to United's customer service on the concourse. The Agent was able to rebook us on a direct flight out of Denver that arrived in Cabo 15 minutes later then our original flight. Vacation saved
Mar 2020,50,Good Flight,"The flight was very pleasant with a professional, friendly flight crew. The food was very good and offered inflight entertainment. Flying into Houston was surprising easy and I can’t say enough good things about customs."
Mar 2020,50,Pretty Bumpy But Pilot Did A Great Job With The Landing,"Pilot and airline attendants did a great job on this flight as we hit some pretty bad turbulence as we began our descent. Prior, everything was fine except for one of the attendants who was testy and rude as we were trying to assist a speech impaired passenger who wanted a waffle cookie."
Mar 2020,30,"United to Maui. Safe, Effective, Direct Flight. Food and Entertainment disappointing","Interesting tidbit, you're stuck on a plane for 7-8 hours that don't have any movie screens. You had to download an app real quick on your phone/tablet to watch movies on United network. Same old airline crap Food For Purchase. Eat before hand."
Mar 2020,40,Surprisingly good flight!,"We chose United Airlines because of the cheap flight, had read bad reviews online about the food but we were pleasantly surprised. The quality was okay even though dessert was always ice cream and the white bread rolls were awful. The quantity of food, however, was a bit lacking and we spent a bit of the flights feeling hungry. We’ll be better prepared on the return flights with sandwiches and snacks in hand luggage! Having said all that about the food, the flights were on time and we’d definitely travel with them again despite the two hours it took to get through Houston for our flight to Sydney,"
Mar 2020,40,In flight Service,Airline service is becoming more and more basic. Crew was polite and efficient if perfunctory. Things are becoming very minimalist these days.
Mar 2020,10,Items Missing From Bag - Airlines should take responsibility for theft when your bag is in their care,"When I retrieved my suitcase from United, I was missing several items out of the outer zipper compartment including a hair straightener, several toiletries, and my electric toothbrush.    I claimed the missing items, and received payment for the toiletries, but was told United doesn't cover ""electronics"", but would offer me a $100 travel voucher instead. I called to explain that I was not interested in a travel voucher as compensation because I was still out a $100 toothbrush, but they wouldn't update their offer.    SO - if you ever have an ""electric"" anything stolen and need to make a claim, I suggest you lie and call it a $100 face cream so the value is reimbursed.    OR - don't fly with United. This policy is ridiculous and this airline should take responsibility for theft when your bag is in their care. Not only was my suitcase rifled through, but I had to go through a long claims process, only to find I was not going to be properly reimbursed."
Mar 2020,40,Smooth. uneventful flight.,Always fly United; good frequent flyer program. Flights are usually either on time or slightly early and most attendants are helpful to disabled travelers.
Mar 2020,30,14 hour flight,Went smoothly. Facilities were good. Lots of movies. Plane was changed and so could not get left foot on aisle which is better for my disability but I did have an aisle seat service fine. Vegetarian ovo lacto breakfast was disappointing but okay.
Mar 2020,30,What a PITA,"What a pain in the neck. We were on standby for First Class. We are already United Plus members with seats booked in premium economy and boarding 2nd seating. Just seconds before we started boarding, they called us up for our standby to First Class change. However, we were not seated anywhere near each other so we declined. The United person got miffed and tried to talk us into taking it saying maybe we could get others to switch seats with us, but what if we couldn't? We we insisted that if we could not be together for certain, we did not want to change to first class and to give us our old seats back. No big deal right? Wrong. By this time the flight was boarding and it took forever for her to re-book us back into our original seats, only now they had us listed as boarding 4th seating. Remember, we had paid for upgraded seats and are United Plus members so we are supposed to get 2nd seating. I complained and she went ahead and put us through in second seating but she let us know she was not happy about it.  I swear every time we fly that I am done with United but since we are United Plus members, and that entitles us to one free checked baggage each as well as 2nd seating, we stay with them. But they really don't give two hoots about making their customers happy."
Mar 2020,50,end of a nice vacation,"staff was very professional , courteous and friendly even though it was a very  early morning flight!  I would fly United Airlines any day"
Mar 2020,10,"False Advertising, Waived fees, and rebooking (Bait and Switch)","Because of this crazy time, I am considering changing a scheduled flight that I have with United airlines. I paid $262 for my original flight. If I cancel the flight, I can bank the $ for 12 months and rebook at at later date. That sounds great, doesn't it?  Well, I looked into it and this is what would happen. If I rebook on the very same flight and use my banked $, United airlines says ""magnanimously"" that they will waive change fees. However, United airlines will charge $545 for the rebooked flight (the very same as the original) they ""use"" the banked $ and still charge $283 more for the exact same flight.  I tried booking a different flight in the future. If I booked this flight without wanting to use my ""banked""$, it would cost $350. If I book this new flight using my banked $ United airlines will charge $1500!!    THIS IS HIGHWAY ROBBERY!! UNITED AIRLINES IS TRYING TO PRESENT THIS COMPASSIONATE PUBLIC IMAGE, AS IF THEY REALLY CARE AND WANT TO HELP IN THIS CRISIS. IN REALITY THEY REDUCE YOUR BANKED $ TO BE ALMOST WORTHLESS.    UNITED AIRLINES, YOU NEED TO TAKE A LESSON FROM SOUTHWEST, THERE POLICY ""ALL THE TIME"" IS TO RECOGNIZE THAT TRAVEL PLANS CHANGE AND ALLOW TRAVEL FUNDS TO BE BANKED FOR 12 MONTHS AND THEN USED AS THEIR ORIGINAL VALUE.    UNITED AIRLINES IS TAKING ADVANTAGE OF A VERY SCARY TIME AND PROFITING FROM IT!!"
Mar 2020,10,Very disappointed with flight crew. They could not have cared less about us. Male hit me with beverage cart,"We have been flying United for 40 years and it just keeps getting worse. Planes are filthy and the flight attendants are rude and don’t serve you or care about you. This plane was nicer than the first leg. The BIGGEST problem on this plane was that the attendants did not enforce the rule of all window shades UP during takeoff and landing. It’s an important safety issue, plus causes anxiety at an extreme level. I mentioned it to the lead attendant and she was mean and scary, did not want me talking to the pilots. I did talk to them and they understood my concerns but they did not know United’s policy on the window shades. Looking at other airlines in the future. Too many recent horrible experiences."
Mar 2020,50,It’s all about Business,"I was fortunate enough to travel in business class on United flight UA2 from Singapore to San Francisco. My flight attendant was Judy. From the moment she started introducing herself to the passengers in my section I new she was going to provide exceptional service. She was enthusiastic, constantly smiled, and attentive to all. Every time I left the seat my water glass was topped off upon my return and any rubbish was removed. Typically in business class you get good service but hers was exceptional and made each person feel appreciated! Excellent job Judy and United! Global Guy!"
Mar 2020,10,Unfair Practice,"I booked a first class round trip ticket, which consisted of 4 legs. Unbeknownst to me, one leg of the trip was booked in a fare basis that is non-refundable, even though I was charged a first class fare for the ticket. This is the highest priced ticket. When I needed to cancel the reservation, I was informed that the entire ticket was non-refundable, because the one leg of the trip was booked in a non-refundable fare basis. I was not informed of this hidden rule when I booked the trip. This is an unfair practice."
Mar 2020,50,GREAT FLIGHT,Great take off and landing. Pleasant cabin attendants. Reliable flight schedule.  Our flight did not have entertainment. Bring your own food.
Mar 2020,40,Great service and nice food in First Class,"I stopped using United about 8 years ago when they twice threw away around 25,000 points each time. They claim not to throw away points any longer, so we'll see. I had to take United from Costa Rica to Seattle in March. The flight was nice and smooth, except for natural bumpy air patterns occasionally. Compared to other American airlines that I take fairly frequently, I was pleasantly surprised at how genuinely caring the attendant was. She was very tuned in to us passengers, gave very thorough answers to our questions, and kept us well cared for. The food was good, though I hope someday they will get organic, or at least non-GMO, food. It was the best food I've had on any other American airlines."
Mar 2020,40,United Call Center 1 800 864 8331 worked perfectly,"In the middle of COVID 19 pandemic trying to cancel our tickets with United. Left a note on their web site, as calling was impossible - I imagine the number of people trying to cancel their flight plans.  United waived fees for changes or cancellations, great! Their call center contacted me (!!), the person was super friendly, apologized for not being able to do it faster (indeed, it took 2 days). They explained all the rules to me, and managed to cancel my tickets right away, without putting me through the misery of holding for hours again (not their fault).  Four stars only for the fact that they didn't create a user-friendly system of cancelling online, with clear explanations - unlike, say, Alaska Air did (we had to cancel their tickets, too, took 2 minutes with no unanswered questions at all)."
Mar 2020,40,Decent flight,"Comfortable full recline seats. Food leaves much to be desired. Ran out of snacks, not even nuts. Lounge in SFO is very nice. So so service."
Mar 2020,50,Good Flight,"On time, smooth flight, went as expected. Plane was clean, flight attendants friendly. Good landing, went immediately to gate."
Mar 2020,10,Traveling to Japan during corona incident,"So while this incident is worsening, i requested a refund because the chance of becoming a carrier of the corona virus is high. I contacted united airlines and they told me i will receive a refund for the flight. Here i am 12 days later and they said I cannot receive my refund based on fare rules. The CDC suggests people should not travel to japan as it is a level 2 zone. But United is being stingy. I will not be using united again"
Mar 2020,50,Great As Usual,"I have great luck with this airline. The staff is typically friendly, the planes clean, the flights on time. I like United and will continue to fly this brand."
Mar 2020,40,United Airlines,"It was a great experience. Cabin attendants are helpful, flight is smooth, and the transfer from Tokyo Narita to Denver, & from Denver to Las Vegas was smooth. Definitely will fly United again!"
Mar 2020,40,"Excellent Service, until they left my bag in Newark","Deciding to get away from the stress of England's winter weather, we decided to get away from it all in Cancun. Originally we were going to Florida, so this was a hastily arranged change of destination. United Airlines had business class flights available, with a stop over in Newark New Jersey.    The check-in was good. The business class cabin was roomy and the equipment available in the cabin was extensive. The entertainment system was impressively varied and kept me fully occupied during the flight.    The food was uniformly excellent on the flight and champagne was flowing. The cabin staff were very attentive and we were well looked after very well during this flight.    We got to Newark and the immigration process was better than Miami airport the year before. As usual for all passengers transiting through almost all US airports, we picked up our suitcases and walked to the bag drop off point. My wife decided, without thinking, to remove the sticker on her suitcase. Little did I know the knock on effect that decision would cause me once I reached our final destination. I dropped my suitcase off and we went to one of the customer service desks to get a replacement sticker for her suitcase. They issued us with new tickets and a new sticker for her suitcase and dropped the suitcase off.    I don't understand why American airports don't have international transfer facilities, like many other airports around the world. The fact you have to go through the full arrivals process again is incredibly annoying and wastes a lot of time.    Anyway, the business lounge for UA in Newark is incredible. The food and service was impeccable and the friendly staff couldn't do enough to make us feel comfortable. We were seriously impressed.    The flight to Cancun was on a smaller aircraft and, like most short haul flights, had no entertainment onboard and the food was adequate. The staff were very friendly.    On arrival in Cancun we waited to pick up our bags. After 40 mins of watching many suitcases getting picked up, including my wife's, I realised my suitcase was not there. I spoke to the UA baggage manager and got a serial number to track the case (no pun intended) number. I had used the new ticket issued at boarding and UA's system was showing I had not checked in (using the old ticket which was referenced on the sticker on my suitcase), so my suitcase wasn't loaded on to the flight. Despite constant daily calls to the airline and assurances and promises that the bag would be delivered the next day, it took my wife to e-mail the CEO and director of Customer Services at UA to get the bag delivered.    To be fair to UA, once the case was escalated, the suitcase arrived at the resort within 14 hours and I could finally start relaxing and enjoying the holiday. It did take over 3 days to receive the suitcase thought and during this time I spent a lot of money on clothes at the resort. On returning to the UK I put a claim in and this was promptly paid.    Overall, if my suitcase had not had a holiday itself in Newark, I would have rated the airline experience as excellent. The service on the flights was great and the exceptional quality of the buisness lounge in Newark is something to experience.    I would recommend United Airlines to anyone wishing to fly business class."
Mar 2020,50,Exceptional service in traveling with a pet,"We traveled for vacation with our small dog (not a service dog) under the seat in front of us. From the time we called with the reservation to make it known we were travleing with a pet, to check-in at the airport, to counter assistance, to staff on the plane - EVERYONE was phenomenal. I could not believe how many people came up to us to offer assistance or ask if we knew where we needed to, etc..... Highly recommend this experience with United, if you are traveling with a small pet."
Mar 2020,50,Very good experience!,"We have been flying for many years. Always traveled basic economy. We decided to fly first class (business class). It is more expensive but I will never look back. The flight attendants treated us just terrific. The bells and whistles are worth the extra money. From the food and drinks, and that I actually enjoyed sitting in a seat that wasn't so tight and cramped. I highly recommend. Will do again!"
Mar 2020,20,Stuck overnight!,"Going to Neward NJ, the plane was packed and there is little leg or head room so I thank God that I paid the outrageous price of an aisle seat or I would have been incredibly uncomfortable.    We got stuck in Newark NJ overnight and had to pay for extra food and accommodations with each of us only recieving a $20 voucher. Have you ever had to buy food at the Newark airport? $20 may buy you a glass of wine. I think it is important for you to know that United does not take any responsibility for your situation when they can claim ""weather delays that timed out the crew"".....    Air travel with this carrier is not for the feint of heart or for those who cannot afford to dig deeper into their pockets to take care of themselves....We met numerous travelers on that flight that had to sleep on the floor of the airport with a blanket they could only obtain at customer service."
Mar 2020,50,Great Flight,Everything about this flight was good. The check-in went smoothly and the actual ride on the airplane was comfortable and seem to pass by quickly. I love that it's Non-Stop. I actually live near Buffalo but it was a lot cheaper to fly into Cleveland. Cleveland is the nice Airport and we had stayed on the way down at a hotel that allows you to park your car there and give you transportation to and from the airport while you're on your trip. It was really nice and I would highly recommend it.
Mar 2020,30,Why a 3+ Hour Layover And a Switch in Terminals at Houston International?,"Flew from El Paso to Philadelphia, via Houston. Flights were fine. However I had a 3+ hour layover in Houston. Why was that?    Also,my flight was originally supposed to leave from Gate C35. However, without any explanation - and I did ask Customer Service - the flight was moved to terminal B. The airport does not have electric walkways and I had difficulty in traversing the distance between terminals C and B. Again, allow me to stress that no explanation was forthcoming about the change!"
Mar 2020,10,My flight got cancelled and they charged me full price for the flight then then booked me on. They didn't let me know,1. My flight got delayed  2. My flight got cancelled  3. They re-booked me on another flight  4. I found out 2 weeks later when I looked at my credit card statement that they charged me $388.80 for this re-booked flight  5. I had to pay $400 for a hotel (cheapest I could find)    When I brought this up with customer servie they did nothing. This company across every division I have spoken too in the last two weeks lacks respect or any understanding of customer service. I will never fly with United ever again and if you want to be treated with any respect I suggest you don't either.
Mar 2020,40,good,"Flight was good , good airplane , good service and a smooth flight . Food was OK but no more than that. Due to Corona virus plenty of space in the aircraft"
Mar 2020,50,Excellent Flight & Service,Excellent flight and service on both flights to and from Raleigh back to Houston. This was a smaller plane so it didn't have the in flight entertainment but they did provide WIFI and you could use your own phones/laptops/ipads.
Mar 2020,40,Quick and easy,"Pushed back a minute or two early and got into Denver about as early. Great crew! Crowded seating, of course. The aircraft was clean and fairly new."
Mar 2020,30,Phoenix comming back,"The flight was delayed at the last minute, they moved me to a later one which can challenge my connection to PTY. Also I did a piece through the app. My bags arrived ok to pty. Not sure what happened but at the counter the members were trying to resolves all people issues."
Mar 2020,20,Empty Promises,"Our flight from Dulles to Honolulu and back again required four segments. The morning of each flight, I checked the United web site to verify what entertainment would be provided. In each instance, the report was that seat back entertainment would be provided. United does indicate that services could change. In 3 our of the four segments, there was no seat back entertainment. Of those, 1 flight could not even get their wifi to work properly. I could understand an occasional last minute change in aircraft that causes a drop in service but 75% of the time? I think we should expect more for the high price we paid for those airline tickets. In full disclosure, the 1 segment that did deliver was a 787 Dreamliner that was by far the nicest, most comfortable, and quietest airplane I have ever been on."
Mar 2020,50,Great Flight,Received an email the night before to upgrade our seats for free to the extra leg room seats. First time ever receiving this and it was a great reward for doing all the travel I do on United. I recommend getting their credit card so you get free checked luggage and earn points.
Mar 2020,10,Stranded and delayed as usual with United Airlines. Not weather related fault,Don’t waste your money. Our flight was canceled and rescheduled more than three times due to technical difficulties. We were stranded on the island and they didn’t care. Finally after more than 24 hours we made it on a plane. They offered us $200 airline credit to make up for it???!!! Like that covers taxis hotel childcare etc. We paid for upgraded seats on original booking and I still don’t have that refunded. The charger outlets didn’t work in our entire row. The row we paid to be in! First leg of our flight was 9 hours because we were stuck on the plane for an hour before even taking off. They didn’t offer any food we could just pay for a cheese snack box.    3 out of the last 3 American flights I have taken have been delayed and the outlets didn’t work for charging. Don’t do it!
Mar 2020,50,An excellent red-eye flight.,This was a red-eye and was quite a nice flight. The crew were helpful at all times. I would recommend a red-eye for international travel if one has the choice. We arrived in Chicago in the morning and were through immigration quite quickly. We were able to make surface transport connections easily. It was an excellent travel experience.
Mar 2020,20,Filthy Bathroom,"Although the virus Covid19 had not kicked into high gear, the effect of the virus was still well known. Unfortunately, United did not make any changes in the cleaning and hygiene of the aircraft. In particular, the bathroom was worse than disgusting. No toilet paper, no paper towels, and foul smelling were a few of the issues."
Mar 2020,20,Missing baggage at Kwajalein Is.,"I took this flight to work on a mission on Ebeye Is. in Marshall Is.for about 1 month. The flight has to land at Kwajalein Military base + then by sea to Ebeye.In Guam some baggage had to be removed to balance the weight of fuel before take off via several other Micronesian Is. Passengers are not allowed to stay on Kwaj. so when I landed minus bags I was dispatched to the ship for Ebeye after being told to come + check after 3 days. Once off Kwaj. you are not allowed back there unless you have an onward flight! Hence no way to come back.No recompense was paid for this as no clothes,and daily necessities were provided. This was October + the fear of losing or delaying bags on Kwaj.is unlike any other place I""ve ever been to in the last 50 years.I got eventually thanks to one of my staff having i brother working on the base."
Mar 2020,40,On par with major airlines,"Took this flight as the flight time fitted our schedule depature to get us into Houston around midday . There was nothing to complain about , staff were courteous, it was on time and and service aboard good. Onboard the plane was clean and amenities welled stocked. On arrival bags were out on carousel promptly. All in all nothing stood out as good or bad andwould fly with again , no problems there."
Mar 2020,40,Newark to Frankfurt,This round trip vacation was booked through United Airlines but we flew to Frankfurt on a Lufthansa jet and returned on a United jet. It was confusing at the airport at first because we weren’t aware that The whole trip was done through United...also because of this we had trouble booking our seats ahead of time online...I’m glad we got to the airport early....hence the 4 stars instead of 5....otherwise both flights were great and both airlines were great....  I would say that the food was better on the United but the service and comfort was about equal on both
Mar 2020,40,Good Flight-No Delays or Issues,"My husband and I took the red-eye from Kauai to San Francisco. Although I didn't like taking an overnight flight, United did a very good job and all went exactly as I expected. We had no delays and the flight went as planned. We had premium seating which is always nice as you get to board earlier and you have extra legroom."
Mar 2020,10,Bathrooms in row 7 and 8,"Don't get seats right next to the bathroom as the smell is terrible. There is a constant flow of people coming to your seats, that used to be prime seats.  I'll make sure to look at the plane diagram before I eagerly pick the seats in rows 7 or 8. Never again!"
Mar 2020,40,Surprisingly good,"My first time flying United to Paris, the flight was very nice, they served us a nice meal and the flight attendants were very friendly and attentive to my needs."
Mar 2020,40,The Line-up,"The line to get in was VERY long. Add an extra hour if going near mid-day. Flight itself was good. Stewardess was friendly, got orders correct. No hassles. Smooth takeoff and smooth landing.    In Seattle, picked up The Tattooist of Auschwitz and the bookstore had a ""read and return"" policy of a 50% refund. Great concept."
Mar 2020,40,Decent enough but seats are very narrow,"We purchased premium economy seats for the extra legroom and the legroom was very good. The width of the seats was very narrow. Very uncomfortable when the row is three seats wide and you are the one in the middle! There was enough room for our carry on bags, which is a relief. I think United did a good job by having the different price points for their seats. The least expensive seats to not allow for carry on bags and this leaves more room for everyone else. The food offered for sale was okay. Staff was pleasant. The Wi-Fi connection offered on the plane did not work well enough to be able to enjoy the free movies offered on one's own personal device, using their app. That was disappointing but most other airlines have no internet service from the mainland to Hawaii. The flights ran mostly on time with just minor delays."
Mar 2020,40,Weather Delays,"So I received one notice before I got to the airport that my flight was delayed. I got another when I arrived at McCarran. The United Staff at the check-in desk needed to work on their customer service for sure (they were cross and just angry). However the gate staff went above and beyond. They happily answered questions and kept everyone in the loop regarding the delay and what was going on. They brought out a snack tray and when our 1:48p flight was delayed until 6, good vouchers for dinner were passed out. Then we found out we would need a new crew. The old crew for our plane (after it finally arrived) took the time to get on the loudspeaker and tell us what was going on and apologize. They boarded us before the new pilots had arrived and once they were there and went through their preflight checks we were on our way. The cabin crew was a slight rude, but I assume that was because they had not expected to have to fly such a late flight. The pilots kept us all informed and made up some time on the way back to DC. Not the best experience but United did there best to make it better."
Mar 2020,40,"Long flight Hawaii to CT, 3 segments",Long flights in 3 segments . Flight attendants were very pleasant and efficient in performing their duties.
Mar 2020,30,High price for a cheap seat,"Pretty sad when you have to drive 2 and half hours to get decent flight times and then pay a price that you could of gone across the pond. Uncomfortable seats as usual, dirty. Only bright side was they didn’t loose are luggage and the fact we went before all this virus outbreak occurred or should I say went public."
Mar 2020,40,better than expected flight,"Very comfortbale seating, with excelent service and good food (breaskfast). Despite that the plane was diverted just before takeoff from the runway amid maintenance issues (some lights in the cockpit), the plane got really back on track without the aid of external persons, and we maneged to get off almost in time."
Mar 2020,50,"How forthcoming of an airline in need to get home,","We were stuck in Melbourne, as Xiamen Airlines had to cancel out flight. All Chinese planes, incoming or outgoing were banned from flying. We were shocked but luckily United accommodated us with our checked luggage which we would have had on the Xiamen airlines, which we found also very good and helpful. We are lucky to be helped by United who were very curteous and accommodating. I would fly with them again."
Mar 2020,10,Flight from Hell!,"This was a flight from hell! we boarded our flight, left the terminal, only to sit on the tarmac for 40 minutes, the captain comes on and tells we have a slight problem and will be returning to the terminal. We sit another 30 minutes and then finally return to the terminal. The captain comes on again to say it will be 30 minutes for the mechanic to look at the problem (no heat to the cargo bay). Once again, the captain comes on to say that we need a new circuit board and we will be delayed again. By this time, they were telling people they could disembark, if they wanted to, and there would be drinks and snacks. Gradually, most passengers disembarked and they had to take ALL of their belongings with them. To make a long story short, our flight was to leave at 10:10 and we finally left at 1:10. Of course, we missed our connecting flight in Honolulu as we were going to Kauai."
Mar 2020,40,Good flights as strange as that is to say these days,Flights were on time (actually landed early) and the seats were comfortable. The attendants were very cordial and efficient.
Mar 2020,50,United to Narita,Great service to Japan. Worth the upgrade to economy plus. Extra room for long haul flight was perfect. Still a bargain fare. Service was good food terrible but I’ve yet to find any airline food that was enjoyable. Free beer and wine was a plus. The ice cream and sorbet was a nice change too from normal dessert offerings. Great entertainment selection to pass the time.
Mar 2020,20,Very uncomfortable flight,"Although the customer service was very good on board; the hard seats, tight rows and terrible food made for a very long and uncomfortable flight!! Also, the sound  quality for the in-flight entertainment was very poor!!"
Mar 2020,50,Smooth trip to bumpy slopes,"Great service from MEX to SLC. The flight crew was awesome and friendly. Flights were on time and smooth. The aircraft amenities all worked. And as much as I dislike the personal device entertainment (small screen and have to hold the device), the system worked very well.  Gate situation on all legs was orderly and efficient.  Happy Trip!"
Mar 2020,30,"United Flight fine, Houston Airport Passenger Processing Terrible","United flights were fine - on time, connecting gates close together, service on board. Transfer from 1st flight to 2nd flight was a real pain. After going through immigration and customs at Houston, we had to go through security again, even though we had never left secure area. In the process, there were no obvious directional signs for TSA Precheck (we don't believe there were any), so we were pushed through regular security check = long lines! Shoes, belts off, pockets emptied, etc. Then the TSA agent rather ""scolded"" us that we had failed to take out CPAP. IPad, etc, claiming that we should have gone thru the TSA Precheck downstairs. No such signage in our view. We were told to just go up the esculator., which ended in the long security lines. This whole process took up over 1 1/2 hours of a 2 1/2 hour connect time. Very poorly managed system! What good is investing in TSA Precheck when you can't use it?"
Mar 2020,40,Really good!!,"Virgin cancelled our flight from New York, could not be helped. Only one hour later coming in United Airlines was our airline. Never flown with them before, nice plane, leather fabric mix seats, excellent service from cabin crew."
